neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,year
Manhattan,Chinatown,Entire home/apt,290,2,3,2016.0
Brooklyn,East Flatbush,Private room,85,4,42,2019.0
Manhattan,West Village,Entire home/apt,199,31,81,2019.0
Brooklyn,Williamsburg,Private room,65,2,1,2016.0
Brooklyn,Crown Heights,Private room,45,2,26,2019.0
Manhattan,Chinatown,Private room,95,2,6,2019.0
Manhattan,East Harlem,Private room,95,5,4,2017.0
Brooklyn,Flatbush,Entire home/apt,80,3,32,2018.0
Manhattan,Chelsea,Entire home/apt,300,5,22,2019.0
Manhattan,Kips Bay,Entire home/apt,120,2,7,2016.0
Manhattan,SoHo,Entire home/apt,150,3,40,2019.0
Manhattan,Morningside Heights,Entire home/apt,120,2,2,2017.0
Manhattan,Chelsea,Entire home/apt,225,1,32,2019.0
Brooklyn,Williamsburg,Private room,100,1,37,2019.0
Brooklyn,Williamsburg,Entire home/apt,160,3,13,2018.0
Manhattan,East Village,Entire home/apt,150,3,35,2019.0
Manhattan,Midtown,Entire home/apt,275,3,16,2017.0
Brooklyn,Clinton Hill,Private room,45,1,3,2016.0
Brooklyn,Williamsburg,Entire home/apt,195,3,54,2019.0
Brooklyn,Prospect-Lefferts Gardens,Private room,100,1,14,2019.0
Manhattan,Lower East Side,Entire home/apt,195,1,9,2017.0
Queens,Ridgewood,Entire home/apt,87,5,133,2019.0
Brooklyn,Flatbush,Entire home/apt,120,3,3,2018.0
Manhattan,Midtown,Entire home/apt,170,2,9,2017.0
Manhattan,Financial District,Entire home/apt,160,7,2,2017.0
Brooklyn,Crown Heights,Entire home/apt,225,1,5,2016.0
Brooklyn,Crown Heights,Entire home/apt,125,2,70,2019.0
Manhattan,Midtown,Entire home/apt,350,2,3,2017.0
Brooklyn,Williamsburg,Entire home/apt,175,3,122,2019.0
Brooklyn,Flatbush,Private room,65,3,28,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,350,6,97,2019.0
Brooklyn,Bushwick,Private room,45,1,251,2019.0
Brooklyn,Fort Greene,Entire home/apt,120,2,21,2017.0
Manhattan,East Village,Private room,100,3,2,2016.0
Manhattan,Chelsea,Entire home/apt,850,2,10,2018.0
Brooklyn,Bushwick,Private room,40,1,1,2016.0
Queens,Ditmars Steinway,Shared room,100,1,1,2016.0
Brooklyn,Williamsburg,Entire home/apt,178,2,22,2018.0
Queens,Sunnyside,Entire home/apt,170,2,149,2019.0
Queens,Woodhaven,Private room,45,1,235,2019.0
Manhattan,Financial District,Entire home/apt,180,1,2,2016.0
Brooklyn,Williamsburg,Private room,89,30,1,2016.0
Brooklyn,Bushwick,Private room,50,1,5,2019.0
Brooklyn,Greenpoint,Private room,80,1,2,2016.0
Brooklyn,South Slope,Entire home/apt,250,4,4,2016.0
Manhattan,Midtown,Private room,70,20,4,2018.0
Manhattan,Upper East Side,Shared room,45,30,20,2019.0
Brooklyn,Flatbush,Entire home/apt,100,2,21,2017.0
Brooklyn,Bushwick,Private room,65,3,33,2018.0
Manhattan,Upper East Side,Shared room,45,30,22,2019.0
Manhattan,Upper East Side,Shared room,45,30,22,2018.0
Manhattan,Upper East Side,Shared room,45,30,22,2018.0
Manhattan,Upper East Side,Private room,90,30,79,2019.0
Manhattan,Washington Heights,Entire home/apt,150,2,17,2019.0
Brooklyn,Fort Greene,Entire home/apt,125,3,19,2019.0
Manhattan,Murray Hill,Entire home/apt,125,2,100,2019.0
Brooklyn,Crown Heights,Entire home/apt,175,1,121,2019.0
Brooklyn,Bushwick,Shared room,75,1,25,2017.0
Brooklyn,Bay Ridge,Private room,30,90,1,2016.0
Manhattan,Chelsea,Entire home/apt,295,1,50,2019.0
Brooklyn,Windsor Terrace,Entire home/apt,50,1,74,2019.0
Brooklyn,Brownsville,Private room,69,2,104,2019.0
Manhattan,Financial District,Entire home/apt,175,30,2,2018.0
Manhattan,Greenwich Village,Private room,90,1,2,2016.0
Manhattan,Upper East Side,Private room,100,2,1,2016.0
Brooklyn,Greenpoint,Private room,49,3,4,2019.0
Manhattan,Harlem,Private room,55,5,31,2019.0
Manhattan,Chelsea,Entire home/apt,249,90,2,2016.0
Queens,Astoria,Private room,36,2,37,2019.0
Queens,Astoria,Private room,65,4,28,2018.0
Brooklyn,Williamsburg,Private room,60,3,1,2017.0
Manhattan,East Village,Entire home/apt,180,4,3,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,50,5,39,2019.0
Brooklyn,Brooklyn Heights,Entire home/apt,110,2,1,2016.0
Manhattan,Midtown,Entire home/apt,87,30,2,2017.0
Brooklyn,Fort Greene,Entire home/apt,100,2,13,2016.0
Queens,Sunnyside,Entire home/apt,120,5,3,2018.0
Brooklyn,Cypress Hills,Private room,42,6,12,2019.0
Manhattan,West Village,Entire home/apt,145,3,100,2018.0
Manhattan,East Village,Private room,99,1,2,2016.0
Brooklyn,Greenpoint,Entire home/apt,129,2,87,2019.0
Manhattan,West Village,Entire home/apt,186,1,197,2019.0
Brooklyn,Williamsburg,Entire home/apt,350,3,2,2018.0
Brooklyn,Greenpoint,Entire home/apt,165,3,8,2017.0
Manhattan,Tribeca,Entire home/apt,210,30,1,2019.0
Queens,Corona,Entire home/apt,119,2,37,2019.0
Manhattan,Civic Center,Private room,75,17,17,2019.0
Manhattan,Upper East Side,Entire home/apt,400,7,4,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,60,2,59,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,140,4,8,2017.0
Manhattan,Gramercy,Entire home/apt,245,30,1,2018.0
Manhattan,Tribeca,Entire home/apt,245,30,1,2018.0
Queens,Elmhurst,Entire home/apt,89,1,146,2019.0
Brooklyn,Fort Greene,Entire home/apt,140,3,2,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,37,1,1,2016.0
Manhattan,Kips Bay,Shared room,49,2,23,2017.0
Manhattan,Hell's Kitchen,Entire home/apt,115,30,6,2019.0
Brooklyn,Crown Heights,Private room,69,2,132,2019.0
Manhattan,Upper East Side,Entire home/apt,100,2,2,2016.0
Manhattan,Midtown,Entire home/apt,300,1,38,2019.0
Queens,Corona,Private room,52,1,45,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,50,3,4,2016.0
Brooklyn,Greenpoint,Entire home/apt,199,3,8,2017.0
Brooklyn,Greenpoint,Private room,90,7,2,2016.0
Brooklyn,Flatbush,Entire home/apt,65,5,13,2019.0
Manhattan,Midtown,Entire home/apt,400,7,103,2019.0
Brooklyn,Park Slope,Entire home/apt,65,8,1,2016.0
Queens,Sunnyside,Entire home/apt,71,2,7,2019.0
Manhattan,Theater District,Entire home/apt,199,30,1,2017.0
Manhattan,Midtown,Entire home/apt,163,30,4,2019.0
Manhattan,Nolita,Entire home/apt,126,2,11,2016.0
Manhattan,Midtown,Entire home/apt,150,1,136,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,199,30,1,2016.0
Brooklyn,Crown Heights,Private room,51,1,1,2016.0
Manhattan,Chelsea,Entire home/apt,289,30,2,2018.0
Manhattan,Chelsea,Entire home/apt,219,30,1,2017.0
Brooklyn,Boerum Hill,Entire home/apt,125,3,1,2016.0
Brooklyn,Carroll Gardens,Private room,90,1,5,2016.0
Manhattan,Upper West Side,Entire home/apt,150,3,4,2016.0
Brooklyn,Bushwick,Private room,40,2,1,2017.0
Brooklyn,Crown Heights,Entire home/apt,120,4,7,2016.0
Manhattan,Washington Heights,Entire home/apt,126,68,17,2018.0
Manhattan,Hell's Kitchen,Entire home/apt,200,30,3,2017.0
Queens,South Ozone Park,Entire home/apt,195,1,239,2019.0
Manhattan,Harlem,Entire home/apt,175,2,34,2019.0
Manhattan,Harlem,Private room,130,3,3,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,170,4,112,2019.0
Brooklyn,South Slope,Private room,60,1,1,2016.0
Queens,Astoria,Entire home/apt,110,13,1,2016.0
Queens,Woodside,Private room,70,5,9,2019.0
Brooklyn,Crown Heights,Entire home/apt,105,2,7,2019.0
Manhattan,East Harlem,Entire home/apt,140,1,28,2019.0
Manhattan,East Village,Entire home/apt,175,4,3,2017.0
Brooklyn,Flatlands,Entire home/apt,90,2,125,2019.0
Brooklyn,Fort Greene,Entire home/apt,128,10,1,2016.0
Manhattan,Financial District,Entire home/apt,110,6,5,2017.0
Queens,Long Island City,Entire home/apt,99,2,16,2016.0
Brooklyn,Manhattan Beach,Private room,125,2,21,2019.0
Manhattan,Chelsea,Entire home/apt,205,30,2,2016.0
Manhattan,Chelsea,Entire home/apt,230,30,1,2016.0
Brooklyn,Bushwick,Private room,40,1,3,2017.0
Brooklyn,Downtown Brooklyn,Entire home/apt,225,3,36,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,50,1,2,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,45,1,7,2016.0
Manhattan,Greenwich Village,Entire home/apt,159,30,4,2019.0
Manhattan,Gramercy,Entire home/apt,180,30,1,2017.0
Brooklyn,Sunset Park,Entire home/apt,225,2,130,2019.0
Queens,Elmhurst,Private room,49,1,65,2019.0
Manhattan,Midtown,Entire home/apt,559,30,2,2018.0
Brooklyn,Park Slope,Private room,109,3,68,2019.0
Manhattan,Chelsea,Entire home/apt,250,4,18,2018.0
Manhattan,Midtown,Entire home/apt,269,30,1,2018.0
Brooklyn,Greenpoint,Private room,81,2,131,2019.0
Brooklyn,Flatbush,Private room,53,14,2,2016.0
Manhattan,East Village,Entire home/apt,206,1,1,2016.0
Manhattan,Harlem,Private room,40,1,1,2016.0
Manhattan,Chelsea,Entire home/apt,105,2,6,2016.0
Manhattan,East Village,Private room,75,1,8,2016.0
Brooklyn,Prospect Heights,Entire home/apt,499,4,7,2019.0
Manhattan,East Harlem,Entire home/apt,165,7,49,2019.0
Manhattan,Washington Heights,Private room,55,6,2,2019.0
Bronx,Claremont Village,Entire home/apt,57,90,11,2019.0
Brooklyn,Prospect Heights,Entire home/apt,201,30,66,2019.0
Brooklyn,Williamsburg,Entire home/apt,80,10,2,2017.0
Brooklyn,Greenpoint,Private room,80,1,4,2018.0
Brooklyn,Bushwick,Entire home/apt,59,2,177,2019.0
Manhattan,Hell's Kitchen,Private room,200,1,1,2016.0
Manhattan,Upper West Side,Private room,60,2,23,2017.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,5,1,2018.0
Queens,Jamaica,Private room,40,1,14,2018.0
Brooklyn,Williamsburg,Entire home/apt,175,2,102,2019.0
Queens,Long Island City,Entire home/apt,151,2,87,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,250,7,52,2018.0
Queens,Ditmars Steinway,Private room,100,1,1,2016.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,5,2016.0
Brooklyn,Clinton Hill,Entire home/apt,100,2,64,2019.0
Manhattan,East Harlem,Private room,80,2,29,2019.0
Manhattan,Harlem,Private room,60,1,63,2019.0
Manhattan,East Village,Entire home/apt,123,2,7,2017.0
Brooklyn,Williamsburg,Entire home/apt,189,3,6,2016.0
Manhattan,Upper East Side,Entire home/apt,235,120,8,2016.0
Manhattan,Hell's Kitchen,Entire home/apt,90,30,11,2019.0
Brooklyn,Williamsburg,Private room,85,1,42,2017.0
Brooklyn,Crown Heights,Private room,40,5,119,2019.0
Bronx,Williamsbridge,Entire home/apt,67,3,205,2019.0
Brooklyn,Gowanus,Private room,63,2,2,2016.0
Brooklyn,Williamsburg,Entire home/apt,150,1,6,2016.0
Brooklyn,Fort Hamilton,Private room,70,2,8,2018.0
Manhattan,Hell's Kitchen,Private room,75,4,146,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,99,30,19,2018.0
Manhattan,East Harlem,Entire home/apt,199,2,30,2019.0
Brooklyn,Brighton Beach,Entire home/apt,67,1,1,2016.0
Queens,Sunnyside,Private room,71,3,40,2019.0
Brooklyn,Bushwick,Private room,35,3,7,2017.0
Brooklyn,East Flatbush,Private room,100,1,30,2019.0
Manhattan,Upper East Side,Entire home/apt,138,1,95,2019.0
Brooklyn,Bushwick,Private room,52,1,97,2019.0
Queens,Astoria,Private room,120,1,1,2016.0
Queens,Woodside,Entire home/apt,125,2,156,2019.0
Manhattan,West Village,Entire home/apt,119,3,1,2016.0
Brooklyn,Fort Greene,Entire home/apt,225,2,11,2017.0
Manhattan,Harlem,Private room,75,3,107,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,70,2,112,2019.0
Brooklyn,Williamsburg,Private room,45,3,1,2016.0
Manhattan,Greenwich Village,Entire home/apt,600,5,24,2019.0
Brooklyn,Park Slope,Entire home/apt,175,4,31,2019.0
Brooklyn,Crown Heights,Entire home/apt,150,2,141,2019.0
Brooklyn,Fort Greene,Private room,76,3,23,2017.0
Brooklyn,Williamsburg,Entire home/apt,200,1,6,2016.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,3,72,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,225,2,32,2019.0
Brooklyn,Fort Greene,Private room,50,7,2,2016.0
Brooklyn,Park Slope,Entire home/apt,150,30,42,2019.0
Manhattan,Upper East Side,Private room,100,1,2,2016.0
Manhattan,Upper West Side,Entire home/apt,202,30,8,2019.0
Manhattan,Upper West Side,Private room,60,2,2,2016.0
Brooklyn,Prospect Heights,Entire home/apt,99,3,6,2016.0
Queens,Woodhaven,Private room,38,1,170,2019.0
Manhattan,Harlem,Private room,70,1,58,2019.0
Brooklyn,Greenpoint,Entire home/apt,117,2,17,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,75,6,37,2019.0
Manhattan,Inwood,Entire home/apt,105,4,7,2019.0
Manhattan,Chelsea,Entire home/apt,130,6,63,2019.0
Manhattan,Upper West Side,Entire home/apt,100,4,2,2018.0
Brooklyn,Williamsburg,Entire home/apt,269,7,1,2016.0
Manhattan,Tribeca,Entire home/apt,325,3,6,2018.0
Manhattan,Inwood,Entire home/apt,80,1,2,2016.0
Queens,Forest Hills,Entire home/apt,509,3,7,2018.0
Brooklyn,Williamsburg,Entire home/apt,200,2,1,2016.0
Manhattan,East Village,Entire home/apt,195,2,7,2017.0
Manhattan,Gramercy,Entire home/apt,225,30,1,2017.0
Queens,Jackson Heights,Shared room,35,1,120,2019.0
Queens,Ditmars Steinway,Entire home/apt,92,2,1,2018.0
Brooklyn,Fort Greene,Private room,95,2,54,2019.0
Queens,Astoria,Private room,95,4,45,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,119,4,136,2019.0
Manhattan,Chelsea,Entire home/apt,154,2,23,2019.0
Manhattan,Inwood,Private room,80,2,12,2017.0
Brooklyn,Manhattan Beach,Entire home/apt,99,1,41,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,5,2,2016.0
Manhattan,Murray Hill,Entire home/apt,199,30,2,2019.0
Manhattan,Midtown,Private room,99,1,180,2019.0
Manhattan,Harlem,Private room,62,30,1,2016.0
Manhattan,Theater District,Private room,180,14,15,2019.0
Manhattan,Upper East Side,Entire home/apt,115,5,4,2016.0
Manhattan,West Village,Entire home/apt,150,2,11,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,65,2,5,2019.0
Brooklyn,East Flatbush,Entire home/apt,85,1,117,2019.0
Manhattan,Washington Heights,Private room,70,1,37,2019.0
Manhattan,Upper West Side,Private room,50,2,8,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,65,2,5,2017.0
Manhattan,Washington Heights,Entire home/apt,150,10,12,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,250,3,12,2019.0
Manhattan,East Village,Entire home/apt,140,31,37,2019.0
Brooklyn,Bushwick,Private room,70,1,111,2019.0
Brooklyn,Bensonhurst,Private room,80,2,7,2018.0
Brooklyn,Bushwick,Private room,85,1,44,2019.0
Queens,Astoria,Entire home/apt,99,3,94,2019.0
Brooklyn,Bushwick,Private room,75,1,117,2019.0
Manhattan,Washington Heights,Entire home/apt,99,2,3,2017.0
Manhattan,Harlem,Entire home/apt,165,4,2,2016.0
Manhattan,Chelsea,Private room,85,2,22,2018.0
Manhattan,West Village,Private room,55,1,7,2016.0
Brooklyn,Flatbush,Entire home/apt,80,29,5,2018.0
Queens,Ridgewood,Entire home/apt,95,1,1,2016.0
Manhattan,Hell's Kitchen,Entire home/apt,369,30,1,2016.0
Queens,Long Island City,Private room,75,15,14,2019.0
Brooklyn,Prospect Heights,Entire home/apt,136,2,169,2019.0
Brooklyn,Bushwick,Private room,101,1,28,2019.0
Manhattan,Washington Heights,Private room,40,2,11,2019.0
Brooklyn,Dyker Heights,Private room,43,1,30,2019.0
Manhattan,East Village,Private room,100,2,11,2017.0
Manhattan,Inwood,Private room,40,3,78,2019.0
Manhattan,Upper East Side,Entire home/apt,165,16,1,2016.0
Brooklyn,Williamsburg,Entire home/apt,319,2,49,2019.0
Queens,Ditmars Steinway,Private room,50,2,9,2019.0
Manhattan,East Harlem,Entire home/apt,160,4,57,2019.0
Manhattan,Financial District,Private room,109,1,86,2019.0
Brooklyn,Flatbush,Private room,50,3,2,2016.0
Brooklyn,Fort Greene,Entire home/apt,150,1,15,2019.0
Manhattan,Washington Heights,Private room,50,5,1,2016.0
Manhattan,Upper East Side,Entire home/apt,115,3,8,2017.0
Manhattan,Hell's Kitchen,Private room,131,4,33,2019.0
Manhattan,Upper East Side,Shared room,99,3,48,2019.0
Queens,Rosedale,Private room,160,1,1,2018.0
Manhattan,Tribeca,Entire home/apt,250,3,3,2017.0
Manhattan,East Village,Entire home/apt,250,1,18,2017.0
Brooklyn,Park Slope,Entire home/apt,150,3,3,2016.0
Manhattan,Financial District,Entire home/apt,150,2,6,2016.0
Queens,Ditmars Steinway,Private room,65,1,20,2019.0
Manhattan,Washington Heights,Private room,85,3,10,2019.0
Brooklyn,Williamsburg,Private room,44,28,11,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,2,120,2019.0
Brooklyn,Greenpoint,Private room,75,1,55,2019.0
Manhattan,Harlem,Entire home/apt,105,7,32,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,50,5,7,2017.0
Manhattan,Nolita,Entire home/apt,275,3,24,2019.0
Manhattan,Harlem,Private room,149,3,16,2019.0
Manhattan,Upper West Side,Private room,90,1,3,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,56,3,17,2018.0
Brooklyn,Crown Heights,Entire home/apt,220,1,1,2016.0
Brooklyn,East Flatbush,Private room,42,3,6,2016.0
Manhattan,Nolita,Entire home/apt,129,2,6,2018.0
Brooklyn,Williamsburg,Private room,50,24,10,2018.0
Brooklyn,Brooklyn Heights,Entire home/apt,110,30,3,2018.0
Manhattan,Theater District,Entire home/apt,160,30,3,2018.0
Brooklyn,East New York,Private room,35,30,86,2019.0
Staten Island,Tompkinsville,Private room,72,2,25,2018.0
Queens,Long Island City,Entire home/apt,95,5,46,2019.0
Manhattan,Harlem,Entire home/apt,100,1,5,2016.0
Manhattan,Upper West Side,Private room,115,10,1,2016.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,5,1,2016.0
Manhattan,Harlem,Private room,79,1,56,2019.0
Manhattan,Upper West Side,Private room,36,15,1,2016.0
Brooklyn,Bay Ridge,Entire home/apt,75,30,1,2016.0
Manhattan,Financial District,Private room,59,13,24,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,99,3,15,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,49,1,77,2019.0
Brooklyn,Crown Heights,Entire home/apt,113,1,3,2016.0
Queens,Elmhurst,Private room,47,1,87,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,650,5,3,2019.0
Manhattan,Upper West Side,Private room,110,7,2,2017.0
Manhattan,Upper East Side,Entire home/apt,199,3,57,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,60,29,2,2017.0
Manhattan,East Harlem,Private room,52,1,33,2018.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,2,94,2019.0
Manhattan,Upper West Side,Entire home/apt,171,30,3,2016.0
Brooklyn,East New York,Private room,39,3,71,2019.0
Manhattan,Upper East Side,Shared room,120,1,12,2017.0
Brooklyn,Bushwick,Entire home/apt,115,5,54,2019.0
Manhattan,West Village,Entire home/apt,165,1,13,2017.0
Manhattan,Harlem,Private room,69,1,34,2019.0
Brooklyn,Bushwick,Private room,55,1,1,2016.0
Brooklyn,Greenpoint,Entire home/apt,133,2,12,2016.0
Manhattan,Hell's Kitchen,Private room,79,3,136,2019.0
Manhattan,Harlem,Entire home/apt,160,3,1,2016.0
Manhattan,Harlem,Entire home/apt,170,3,34,2019.0
Queens,Elmhurst,Private room,45,5,2,2017.0
Manhattan,Harlem,Private room,66,14,4,2019.0
Brooklyn,Bushwick,Private room,52,1,132,2019.0
Manhattan,Lower East Side,Entire home/apt,200,4,6,2019.0
Manhattan,Midtown,Private room,80,1,275,2019.0
Brooklyn,Williamsburg,Private room,75,2,30,2019.0
Manhattan,Upper East Side,Private room,125,1,5,2016.0
Manhattan,Harlem,Private room,65,2,50,2019.0
Manhattan,Roosevelt Island,Private room,79,4,2,2016.0
Brooklyn,Bushwick,Entire home/apt,125,5,42,2019.0
Brooklyn,Crown Heights,Entire home/apt,105,4,13,2017.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,3,122,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,3,2,2016.0
Manhattan,Hell's Kitchen,Entire home/apt,2000,1,4,2017.0
Manhattan,Chelsea,Shared room,75,2,9,2019.0
Brooklyn,Crown Heights,Private room,36,12,2,2017.0
Manhattan,Chelsea,Entire home/apt,240,1,1,2016.0
Manhattan,Greenwich Village,Entire home/apt,200,7,38,2019.0
Brooklyn,Flatbush,Shared room,46,1,22,2019.0
Manhattan,Kips Bay,Entire home/apt,120,26,22,2018.0
Manhattan,Upper West Side,Private room,80,2,149,2018.0
Manhattan,Upper West Side,Entire home/apt,120,14,12,2018.0
Brooklyn,South Slope,Entire home/apt,150,3,6,2018.0
Manhattan,Flatiron District,Entire home/apt,200,5,1,2016.0
Manhattan,East Village,Private room,100,1,1,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,73,3,5,2016.0
Brooklyn,Bedford-Stuyvesant,Private room,60,2,9,2018.0
Brooklyn,Brooklyn Heights,Entire home/apt,110,1,3,2016.0
Manhattan,Harlem,Private room,55,3,60,2019.0
Manhattan,Washington Heights,Entire home/apt,110,1,7,2017.0
Manhattan,Harlem,Private room,70,1,4,2016.0
Brooklyn,Williamsburg,Private room,60,3,2,2016.0
Brooklyn,Prospect Heights,Entire home/apt,270,30,3,2018.0
Manhattan,Midtown,Private room,100,1,4,2016.0
Manhattan,Financial District,Entire home/apt,150,3,6,2017.0
Manhattan,Midtown,Entire home/apt,150,30,2,2018.0
Brooklyn,Bushwick,Private room,77,3,47,2019.0
Brooklyn,Williamsburg,Private room,59,2,87,2018.0
Manhattan,Harlem,Private room,110,2,4,2018.0
Manhattan,Harlem,Private room,110,2,9,2019.0
Queens,Ditmars Steinway,Private room,125,1,6,2016.0
Manhattan,Harlem,Private room,110,2,20,2019.0
Brooklyn,Williamsburg,Private room,89,2,69,2018.0
Brooklyn,Bushwick,Private room,75,2,7,2018.0
Brooklyn,Greenpoint,Private room,100,1,11,2017.0
Brooklyn,Brooklyn Heights,Entire home/apt,250,7,5,2017.0
Manhattan,Upper West Side,Entire home/apt,149,2,1,2016.0
Brooklyn,Bushwick,Private room,50,2,2,2016.0
Brooklyn,Williamsburg,Entire home/apt,160,1,7,2017.0
Manhattan,Harlem,Private room,79,3,50,2018.0
Brooklyn,Cobble Hill,Private room,65,2,17,2018.0
Brooklyn,Bushwick,Entire home/apt,95,3,1,2016.0
Manhattan,Midtown,Entire home/apt,185,1,2,2016.0
Brooklyn,Bushwick,Entire home/apt,68,2,4,2016.0
Manhattan,East Harlem,Private room,85,4,46,2019.0
Brooklyn,Gowanus,Private room,150,2,215,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,65,4,6,2018.0
Manhattan,Murray Hill,Entire home/apt,200,270,2,2016.0
Brooklyn,Windsor Terrace,Private room,55,2,26,2019.0
Manhattan,West Village,Entire home/apt,250,2,1,2016.0
Brooklyn,Williamsburg,Private room,89,1,3,2017.0
Brooklyn,South Slope,Private room,100,31,1,2019.0
Manhattan,Kips Bay,Entire home/apt,300,2,2,2016.0
Queens,Ridgewood,Private room,45,7,35,2019.0
Manhattan,Upper East Side,Entire home/apt,133,30,10,2019.0
Bronx,Williamsbridge,Entire home/apt,500,2,19,2018.0
Brooklyn,Williamsburg,Private room,68,3,9,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,56,2,43,2019.0
Manhattan,Little Italy,Private room,75,15,15,2019.0
Manhattan,Upper West Side,Private room,299,1,3,2016.0
Brooklyn,Sheepshead Bay,Private room,51,2,80,2019.0
Manhattan,Hell's Kitchen,Private room,115,2,30,2019.0
Brooklyn,Brooklyn Heights,Entire home/apt,180,3,5,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,50,6,3,2019.0
Brooklyn,Greenpoint,Private room,80,2,2,2019.0
Queens,Astoria,Entire home/apt,300,4,4,2018.0
Brooklyn,Bushwick,Entire home/apt,79,2,156,2019.0
Manhattan,Kips Bay,Entire home/apt,150,2,18,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,94,3,98,2019.0
Brooklyn,Prospect Heights,Private room,65,1,16,2017.0
Manhattan,Little Italy,Private room,83,15,26,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,14,1,2016.0
Brooklyn,Canarsie,Private room,500,2,1,2016.0
Manhattan,Washington Heights,Entire home/apt,150,1,89,2019.0
Brooklyn,Bushwick,Entire home/apt,149,1,41,2019.0
Manhattan,Upper West Side,Entire home/apt,150,2,11,2017.0
Manhattan,Chinatown,Private room,75,1,3,2017.0
Manhattan,Roosevelt Island,Entire home/apt,195,14,1,2016.0
Brooklyn,Crown Heights,Private room,80,1,1,2016.0
Manhattan,Nolita,Entire home/apt,250,4,11,2018.0
Manhattan,West Village,Entire home/apt,225,1,21,2016.0
Manhattan,SoHo,Entire home/apt,450,2,41,2019.0
Queens,Flushing,Private room,35,1,67,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,12,27,2019.0
Brooklyn,Crown Heights,Private room,80,3,1,2016.0
Manhattan,Chinatown,Private room,84,14,25,2019.0
Manhattan,Lower East Side,Entire home/apt,172,3,3,2016.0
Manhattan,Washington Heights,Entire home/apt,110,14,5,2018.0
Brooklyn,Bushwick,Private room,55,1,1,2016.0
Queens,Long Island City,Private room,78,2,27,2017.0
Brooklyn,Midwood,Entire home/apt,115,1,75,2019.0
Manhattan,Morningside Heights,Entire home/apt,180,3,1,2016.0
Bronx,Port Morris,Entire home/apt,139,2,28,2019.0
Brooklyn,Greenpoint,Private room,120,2,10,2017.0
Brooklyn,East Flatbush,Entire home/apt,77,2,1,2016.0
Manhattan,Upper East Side,Entire home/apt,150,7,1,2016.0
Manhattan,Upper West Side,Private room,67,5,1,2016.0
Manhattan,East Harlem,Entire home/apt,159,30,12,2018.0
Brooklyn,Williamsburg,Private room,100,1,3,2016.0
Manhattan,East Village,Entire home/apt,199,2,4,2019.0
Brooklyn,Clinton Hill,Private room,75,3,7,2019.0
Manhattan,Upper West Side,Private room,70,3,2,2016.0
Bronx,Port Morris,Private room,49,2,59,2019.0
Bronx,Port Morris,Private room,41,2,57,2019.0
Manhattan,Lower East Side,Private room,150,3,6,2016.0
Manhattan,Harlem,Private room,60,1,72,2019.0
Queens,Kew Gardens Hills,Entire home/apt,40,10,4,2016.0
Queens,Astoria,Entire home/apt,99,31,4,2018.0
Brooklyn,Bushwick,Private room,40,4,1,2016.0
Queens,Ditmars Steinway,Private room,100,3,34,2019.0
Brooklyn,Flatbush,Private room,50,4,3,2016.0
